115年最新！勞保、健保、勞退級距及保費級距一覽表
在為員工投保勞健保時，雇主需特別注意，當員工的薪資介在2個級距之間時，需以「較高的級距」為準，以下為大家附上月薪29,500～月薪313,000（健保最高級距）的勞保、健保和勞退級距與保費一覽表，會更加清楚！

投保級距	雇主負擔	員工自付額
勞保	健保	勞退	合計	勞保	健保	合計
29,500	2,581	1,428	1,770	5,779	738	458	1,196
30,300	2,651	1,466	1,818	5,935	758	470	1,228
31,800	2,783	1,539	1,908	6,230	795	493	1,288
33,300	2,914	1,611	1,998	6,523	833	516	1,349
34,800	3,045	1,684	2,088	6,817	870	540	1,410
36,300	3,176	1,757	2,178	7,111	908	563	1,471
38,200	3,342	1,849	2,292	7,483	955	592	1,547
40,100	3,509	1,940	2,406	7,855	1,002	622	1,624
42,000	3,675	2,032	2,520	8,227	1,050	651	1,701
43,900	3,841	2,124	2,634	8,599	1,098	681	1,779
45,800	4,008	2,216	2,748	8,972	1,145	710	1,855
48,200	4,008	2,332	2,892	9,232	1,145	748	1,893
50,600	4,008	2,449	3,036	9,493	1,145	785	1,930
53,000	4,008	2,565	3,180	9,753	1,145	822	1,967
55,400	4,008	2,681	3,324	10,013	1,145	859	2,004
57,800	4,008	2,797	3,468	10,273	1,145	896	2,041
60,800	4,008	2,942	3,648	10,598	1,145	943	2,088
63,800	4,008	3,087	3,828	10,923	1,145	990	2,135
66,800	4,008	3,233	4,008	11,249	1,145	1,036	2,181
69,800	4,008	3,378	4,188	11,574	1,145	1,083	2,228
72,800	4,008	3,523	4,368	11,899	1,145	1,129	2,274
76,500	4,008	3,702	4,590	12,300	1,145	1,187	2,332
80,200	4,008	3,881	4,812	12,701	1,145	1,244	2,389
83,900	4,008	4,060	5,034	13,102	1,145	1,301	2,446
87,600	4,008	4,239	5,256	13,503	1,145	1,359	2,504
92,100	4,008	4,457	5,526	13,991	1,145	1,428	2,573
96,600	4,008	4,675	5,796	14,479	1,145	1,498	2,643
101,100	4,008	4,892	6,066	14,966	1,145	1,568	2,713
105,600	4,008	5,110	6,336	15,454	1,145	1,638	2,783
110,100	4,008	5,328	6,606	15,942	1,145	1,708	2,853
115,500	4,008	5,589	6,930	16,527	1,145	1,791	2,936
120,900	4,008	5,850	7,254	17,112	1,145	1,875	3,020
126,300	4,008	6,112	7,578	17,698	1,145	1,959	3,104
131,700	4,008	6,373	7,902	18,283	1,145	2,043	3,188
137,100	4,008	6,634	8,226	18,868	1,145	2,126	3,271
142,500	4,008	6,896	8,550	19,454	1,145	2,210	3,355
147,900	4,008	7,157	8,874	20,039	1,145	2,294	3,439
150,000
（勞退最高級距）	4,008	7,259	9,000	20,267	1,145	2,327	3,472
156,400	4,008	7,568	9,000	20,576	1,145	2,426	3,571
162,800	4,008	7,878	9,000	20,886	1,145	2,525	3,670
169,200	4,008	8,188	9,000	21,196	1,145	2,624	3,769
175,600	4,008	8,497	9,000	21,505	1,145	2,724	3,869
182,000	4,008	8,807	9,000	21,815	1,145	2,823	3,968
189,500	4,008	9,170	9,000	22,178	1,145	2,939	4,084
197,000	4,008	9,533	9,000	22,541	1,145	3,055	4,200
204,500	4,008	9,896	9,000	22,904	1,145	3,172	4,317
212,000	4,008	10,259	9,000	23,267	1,145	3,288	4,433
219,500	4,008	10,622	9,000	23,630	1,145	3,404	4,549
228,200	4,008	11,043	9,000	24,051	1,145	3,539	4,684
236,900	4,008	11,464	9,000	24,472	1,145	3,674	4,819
245,600	4,008	11,885	9,000	24,893	1,145	3,809	4,954
254,300	4,008	12,306	9,000	25,314	1,145	3,944	5,089
263,000	4,008	12,727	9,000	25,735	1,145	4,079	5,224
273,000	4,008	13,211	9,000	26,219	1,145	4,234	5,379
283,000	4,008	13,695	9,000	26,703	1,145	4,389	5,534
293,000	4,008	14,179	9,000	27,187	1,145	4,544	5,689
303,000	4,008	14,663	9,000	27,671	1,145	4,700	5,845
313,000
（健保最高級距）	4,008	15,146	9,000	28,154	1,145	4,855	6,000
舉例而言：若一位員工的薪資為40,000元，則雇主應為其投保40,100的勞健保級距，並負擔勞健保保費和提撥6%的勞退，總共需支付7,855元。
